"GEO_ID","NAME","P2_001N","P2_002N","P2_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Hispanic or Latino"," !!Total:!!Not Hispanic or Latino:"
"1400000US42101027901","Census Tract 279.01, Philadelphia County, Pennsylvania","3796","124","3672"
"1400000US42101027902","Census Tract 279.02, Philadelphia County, Pennsylvania","3572","357","3215"
"1400000US42101028000","Census Tract 280, Philadelphia County, Pennsylvania","4180","260","3920"
"1400000US42101028100","Census Tract 281, Philadelphia County, Pennsylvania","3362","191","3171"
"1400000US42101028200","Census Tract 282, Philadelphia County, Pennsylvania","4696","305","4391"
"1400000US42101028300","Census Tract 283, Philadelphia County, Pennsylvania","6294","566","5728"
"1400000US42101028400","Census Tract 284, Philadelphia County, Pennsylvania","3811","977","2834"
"1400000US42101028500","Census Tract 285, Philadelphia County, Pennsylvania","2303","908","1395"
"1400000US42101028600","Census Tract 286, Philadelphia County, Pennsylvania","6668","2690","3978"
"1400000US42101028700","Census Tract 287, Philadelphia County, Pennsylvania","2371","1762","609"
"1400000US42101028800","Census Tract 288, Philadelphia County, Pennsylvania","4251","2701","1550"
"1400000US42101028901","Census Tract 289.01, Philadelphia County, Pennsylvania","3932","2653","1279"
"1400000US42101028902","Census Tract 289.02, Philadelphia County, Pennsylvania","6047","3644","2403"
"1400000US42101029000","Census Tract 290, Philadelphia County, Pennsylvania","6195","2269","3926"
"1400000US42101029100","Census Tract 291, Philadelphia County, Pennsylvania","4826","1676","3150"
"1400000US42101029200","Census Tract 292, Philadelphia County, Pennsylvania","4205","1971","2234"
"1400000US42101029300","Census Tract 293, Philadelphia County, Pennsylvania","3026","1217","1809"
"1400000US42101029400","Census Tract 294, Philadelphia County, Pennsylvania","3308","1292","2016"
"1400000US42101029800","Census Tract 298, Philadelphia County, Pennsylvania","4847","1802","3045"
"1400000US42101029900","Census Tract 299, Philadelphia County, Pennsylvania","4617","1749","2868"
"1400000US42101030000","Census Tract 300, Philadelphia County, Pennsylvania","7402","2032","5370"
"1400000US42101030100","Census Tract 301, Philadelphia County, Pennsylvania","6215","1666","4549"
"1400000US42101030200","Census Tract 302, Philadelphia County, Pennsylvania","7431","2499","4932"
"1400000US42101030501","Census Tract 305.01, Philadelphia County, Pennsylvania","5450","1538","3912"
"1400000US42101030502","Census Tract 305.02, Philadelphia County, Pennsylvania","5847","1455","4392"
"1400000US42101030600","Census Tract 306, Philadelphia County, Pennsylvania","7142","1837","5305"
"1400000US42101030700","Census Tract 307, Philadelphia County, Pennsylvania","3743","824","2919"
"1400000US42101030800","Census Tract 308, Philadelphia County, Pennsylvania","5138","952","4186"
"1400000US42101030900","Census Tract 309, Philadelphia County, Pennsylvania","4137","992","3145"
"1400000US42101031000","Census Tract 310, Philadelphia County, Pennsylvania","7266","1670","5596"
"1400000US42101031101","Census Tract 311.01, Philadelphia County, Pennsylvania","5194","1584","3610"
"1400000US42101031102","Census Tract 311.02, Philadelphia County, Pennsylvania","4618","1398","3220"
"1400000US42101031200","Census Tract 312, Philadelphia County, Pennsylvania","4804","1382","3422"
"1400000US42101031300","Census Tract 313, Philadelphia County, Pennsylvania","7416","2145","5271"
"1400000US42101031401","Census Tract 314.01, Philadelphia County, Pennsylvania","7456","2216","5240"
"1400000US42101031402","Census Tract 314.02, Philadelphia County, Pennsylvania","5956","1504","4452"
"1400000US42101031501","Census Tract 315.01, Philadelphia County, Pennsylvania","7381","1527","5854"
"1400000US42101031502","Census Tract 315.02, Philadelphia County, Pennsylvania","4746","971","3775"
"1400000US42101031600","Census Tract 316, Philadelphia County, Pennsylvania","6729","1692","5037"
"1400000US42101031700","Census Tract 317, Philadelphia County, Pennsylvania","6597","2189","4408"
"1400000US42101031800","Census Tract 318, Philadelphia County, Pennsylvania","4093","1508","2585"
"1400000US42101031900","Census Tract 319, Philadelphia County, Pennsylvania","5133","1730","3403"
"1400000US42101032000","Census Tract 320, Philadelphia County, Pennsylvania","7327","2393","4934"
