GEO_ID,NAME,total_pop,white_pop,black_pop,asian_pop,DECENNIALPL2020.P2_data_with_overlays_2021-11-29T140643_NAME,hisp_pop,non_hisp_pop
id,Geographic Area Name, !!Total:, !!Total:!!Population of one race:!!White alone, !!Total:!!Population of one race:!!Black or African American alone, !!Total:!!Population of one race:!!Asian alone,Geographic Area Name, !!Total:!!Hispanic or Latino, !!Total:!!Not Hispanic or Latino:
1400000US42101009100,"Census Tract 91, Philadelphia County, Pennsylvania","3934","1506","1175","921","Census Tract 91, Philadelphia County, Pennsylvania","220","3714"
1400000US42101009200,"Census Tract 92, Philadelphia County, Pennsylvania","3974","894","2172","563","Census Tract 92, Philadelphia County, Pennsylvania","249","3725"
1400000US42101009300,"Census Tract 93, Philadelphia County, Pennsylvania","4261","208","3693","55","Census Tract 93, Philadelphia County, Pennsylvania","173","4088"
1400000US42101009400,"Census Tract 94, Philadelphia County, Pennsylvania","3766","75","3426","58","Census Tract 94, Philadelphia County, Pennsylvania","115","3651"
1400000US42101009500,"Census Tract 95, Philadelphia County, Pennsylvania","3289","22","3070","14","Census Tract 95, Philadelphia County, Pennsylvania","72","3217"
1400000US42101009600,"Census Tract 96, Philadelphia County, Pennsylvania","4275","70","3885","59","Census Tract 96, Philadelphia County, Pennsylvania","113","4162"
1400000US42101009801,"Census Tract 98.01, Philadelphia County, Pennsylvania","2206","242","1796","48","Census Tract 98.01, Philadelphia County, Pennsylvania","61","2145"
1400000US42101009802,"Census Tract 98.02, Philadelphia County, Pennsylvania","5495","406","4747","70","Census Tract 98.02, Philadelphia County, Pennsylvania","151","5344"
1400000US42101010000,"Census Tract 100, Philadelphia County, Pennsylvania","4397","276","3832","57","Census Tract 100, Philadelphia County, Pennsylvania","144","4253"
1400000US42101010100,"Census Tract 101, Philadelphia County, Pennsylvania","5640","87","5180","46","Census Tract 101, Philadelphia County, Pennsylvania","207","5433"
1400000US42101010200,"Census Tract 102, Philadelphia County, Pennsylvania","3147","50","2924","8","Census Tract 102, Philadelphia County, Pennsylvania","95","3052"
1400000US42101010300,"Census Tract 103, Philadelphia County, Pennsylvania","2572","63","2341","19","Census Tract 103, Philadelphia County, Pennsylvania","90","2482"
1400000US42101010400,"Census Tract 104, Philadelphia County, Pennsylvania","3573","174","3159","27","Census Tract 104, Philadelphia County, Pennsylvania","123","3450"
1400000US42101010500,"Census Tract 105, Philadelphia County, Pennsylvania","3363","96","2985","69","Census Tract 105, Philadelphia County, Pennsylvania","107","3256"
1400000US42101010600,"Census Tract 106, Philadelphia County, Pennsylvania","1476","87","1182","92","Census Tract 106, Philadelphia County, Pennsylvania","66","1410"
1400000US42101010700,"Census Tract 107, Philadelphia County, Pennsylvania","3479","207","2979","50","Census Tract 107, Philadelphia County, Pennsylvania","131","3348"
1400000US42101010800,"Census Tract 108, Philadelphia County, Pennsylvania","3936","532","2962","192","Census Tract 108, Philadelphia County, Pennsylvania","165","3771"
1400000US42101010900,"Census Tract 109, Philadelphia County, Pennsylvania","2641","663","1605","205","Census Tract 109, Philadelphia County, Pennsylvania","107","2534"
1400000US42101011000,"Census Tract 110, Philadelphia County, Pennsylvania","3378","174","2978","13","Census Tract 110, Philadelphia County, Pennsylvania","141","3237"
1400000US42101011100,"Census Tract 111, Philadelphia County, Pennsylvania","3537","62","3283","16","Census Tract 111, Philadelphia County, Pennsylvania","132","3405"
1400000US42101011200,"Census Tract 112, Philadelphia County, Pennsylvania","5598","49","5248","30","Census Tract 112, Philadelphia County, Pennsylvania","170","5428"
1400000US42101011300,"Census Tract 113, Philadelphia County, Pennsylvania","2834","24","2678","6","Census Tract 113, Philadelphia County, Pennsylvania","67","2767"
1400000US42101011400,"Census Tract 114, Philadelphia County, Pennsylvania","6320","150","5772","48","Census Tract 114, Philadelphia County, Pennsylvania","157","6163"
1400000US42101011500,"Census Tract 115, Philadelphia County, Pennsylvania","4104","241","3627","20","Census Tract 115, Philadelphia County, Pennsylvania","132","3972"
1400000US42101011700,"Census Tract 117, Philadelphia County, Pennsylvania","1893","864","618","251","Census Tract 117, Philadelphia County, Pennsylvania","91","1802"
